Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Step Image,Metadata Step Image,Service-Reference,Process-Title,Process-Description,Step-Number,Display-Order,Status
Retractable Screen - Installation Permits & Certification,retractable-screen-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57296d,false,false,Wed Apr 29 2026 20:06:29 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726d4_69f38ca8280147b98e9a78b4_retractable-screen-step-3.png,Electrical readiness is confirmed and our certified installers complete your full retractable screen installation in Florida — typically within one day with minimal disruption.,motorized-retractable-screens-in-north-south-florida,Installation Permits & Certification,"<p>Verification of installation requirements, electrical permits (if motorized), and MaestroShield certification documentation. Quality assurance inspection prior to activation.</p>",3,3,Published
Retractable Screen - System Design & Custom Fitting,retractable-screen-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57296e,false,false,Wed Apr 29 2026 20:06:29 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726d5_69f38cb7fe1bd007cf529c8f_retractable-screen-step-2.png,"Your custom motorized retractable screen systems are ordered directly from the manufacturer with a typical 3-week lead time, pre-scheduled for seamless on-time installation.",motorized-retractable-screens-in-north-south-florida,System Design & Custom Fitting,"<p>Detailed measurement and design of custom retractable screen installations for doors, windows, or open areas. Integration with existing frame systems and automation compatibility.</p>",2,2,Published
Smart Lighting - Electrical Work & Permitting,smart-lighting-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57296f,false,false,Wed Apr 29 2026 20:06:48 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:35 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726c2_69f38aba611fd9bc6770acd4_smart-lighting-step-3.png,"Delivery is coordinated with your project timeline. Licensed electricians install, connect, and position every fixture per your approved lighting design for a precise Florida installation.",smart-soffit-led-lighting-installation-in-north-south-florida,Electrical Work & Permitting,"<p>Electrical plan development for wiring routes, power supply adequacy, and any required permits. Installation of electrical infrastructure supporting all lighting zones.</p>",3,3,Published
Smart Lighting - Installation & Smart Automation Setup,smart-lighting-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572970,false,false,Wed Apr 29 2026 20:06:48 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 14:26:03 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572774_Smart%20Lighting%20-%20Installation%20%26%20Smart%20Automation%20Setup.avif,"Every light zone is tested, adjusted, and calibrated. A final walkthrough confirms flawless smart control performance — your Florida property is transformed with professional exterior lighting.",smart-soffit-led-lighting-installation-in-north-south-florida,Installation & Smart Automation Setup,"<p>Professional installation of all fixtures, wiring, controllers, and smart home integration. Testing of all lighting zones, app setup for remote control, and automated scheduling configuration.</p>",4,4,Published
Smart Lighting - Smart Lighting System Design & Integration,smart-lighting-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572971,false,false,Wed Apr 29 2026 20:06:48 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:35 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726c3_69f38ad88e6fe7edb1ce540f_smart-lighting-step-2.png,Selected LED fixtures and smart control components are confirmed with the supplier. Lead times and delivery specs are locked in to ensure your Florida lighting project stays on track.,smart-soffit-led-lighting-installation-in-north-south-florida,Smart Lighting System Design & Integration,"<p>Design of lighting zones using Gemstone Lights IP68-rated fixtures. Integration with smart home systems for automated scheduling, color adjustments, and scene creation for entertaining.</p>",2,2,Published
Smart Lighting - Lighting Assessment & Design,smart-lighting-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572972,false,true,Wed Apr 29 2026 20:06:48 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:35 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726c4_69f38af0fe1bd007cf518400_smart-lighting-step-1.png,Your smart lighting project starts with a detailed consultation to select premium LED and smart lighting fixtures engineered for Florida's outdoor environment and your property design.,smart-soffit-led-lighting-installation-in-north-south-florida,Lighting Assessment & Design,"<p>Comprehensive assessment of current outdoor lighting, identification of dark areas, and design of smart LED soffit lighting placement. Color temperature and brightness level recommendations.</p>",1,1,Published
Louvered Roof Systems - Climate Adaptation & System Selection,louvered-roof-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572973,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 14:53:52 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572775_Louvered%20Roof%20Systems%20-%20Climate%20Adaptation%20%26%20System%20Selection.avif,,motorized-louvered-roof-systems-in-north-south-florida,Climate Adaptation & System Selection,"<p>Assessment of Florida climate demands (humidity, salt air, wind loads) and selection of bioclimatic system best suited to property conditions. We review motorized vs. manual louver operation.</p>",1,1,Published
Louvered Roof Systems - Engineering Design & Customization,louvered-roof-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572974,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 14:54:02 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572776_Louvered%20Roof%20Systems%20-%20Engineering%20Design%20%26%20Customization.avif,,motorized-louvered-roof-systems-in-north-south-florida,Engineering Design & Customization,"<p>Detailed system design with wind-load calculations, louver angle optimization for seasonal sun management, and drainage system engineering. 3D renderings show operational benefits.</p>",2,2,Published
Louvered Roof Systems - Structural & Electrical Permitting,louvered-roof-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572975,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 14:54:08 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572777_Louvered%20Roof%20Systems%20-%20Structural%20%26%20Electrical%20Permitting.avif,,motorized-louvered-roof-systems-in-north-south-florida,Structural & Electrical Permitting,"<p>Engineering permits for roof installation, electrical permits for motorization systems (if included), and ARB approvals. HVHZ compliance verification for high-wind zones.</p>",3,3,Published
Louvered Roof Systems - Professional Installation & Commissioning,louvered-roof-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572976,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 14:54:19 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572778_Louvered%20Roof%20Systems%20-%20Professional%20Installation%20%26%20Commissioning.avif,,motorized-louvered-roof-systems-in-north-south-florida,Professional Installation & Commissioning,"<p>Complete installation including structural anchoring, motorization systems testing, smart control integration, and performance verification. Full operational training provided.</p>",4,4,Published
Pool Screen Enclosures - Screen Type & Configuration Assessment,pool-screen-enclosure-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572977,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 15:23:52 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572779_Pool%20Screen%20Enclosures%20-%20Screen%20Type%20%26%20Configuration%20Assessment.avif,,pool-screen-enclosures-for-north-south-florida-pools,Screen Type & Configuration Assessment,"<p>Evaluation of standard aluminum screen enclosure vs. hybrid options. Assessment of pool perimeter dimensions, existing deck configuration, and regulatory requirements for screen material and spacing.</p>",1,1,Published
Pool Screen Enclosures - Enclosure Design & Material Selection,pool-screen-enclosure-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572978,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 15:24:00 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57277a_Pool%20Screen%20Enclosures%20-%20Enclosure%20Design%20%26%20Material%20Selection.avif,,pool-screen-enclosures-for-north-south-florida-pools,Enclosure Design & Material Selection,"<p>Design of custom enclosure layout with aluminum framing, screen material selection, roof integration (if applicable), and aesthetic coordination with home architecture. 3D renderings provided.</p>",2,2,Published
Pool Screen Enclosures - Permits & Code Compliance,pool-screen-enclosure-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572979,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 15:24:16 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57277b_Pool%20Screen%20Enclosures%20-%20Permits%20%26%20Code%20Compliance.avif,,pool-screen-enclosures-for-north-south-florida-pools,Permits & Code Compliance,"<p>Permit acquisition for screen enclosure installation, verification of setback compliance, and ARB approvals if required. Confirmation of screen material specifications per local codes.</p>",3,3,Published
Pool Screen Enclosures - Installation & Final Inspection,pool-screen-enclosure-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57297a,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 15:25:31 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57277c_Pool%20Screen%20Enclosures%20-%20Installation%20%26%20Final%20Inspection.avif,,pool-screen-enclosures-for-north-south-florida-pools,Installation & Final Inspection,"<p>Professional installation of aluminum framing, screen material attachment, hardware installation, and final inspections. Full operational demonstration of any doors or access points.</p>",4,4,Published
Patio Screen Rooms - Screen Room Scope & Utility Needs,patio-screen-room-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57297b,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 15:28:38 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57277d_Patio%20Screen%20Rooms%20-%20Screen%20Room%20Scope%20%26%20Utility%20Needs.avif,,patio-screen-rooms-enclosures-in-north-south-florida,Screen Room Scope & Utility Needs,"<p>Assessment of patio dimensions, existing structure conditions, and utility requirements (electrical, HVAC). Determination of whether room will be temperature-controlled or screened-only.</p>",1,1,Published
Patio Screen Rooms - Room Design & Architectural Integration,patio-screen-room-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57297c,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 15:28:47 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57277e_Patio%20Screen%20Rooms%20-%20Room%20Design%20%26%20Architectural%20Integration.avif,,patio-screen-rooms-enclosures-in-north-south-florida,Room Design & Architectural Integration,"<p>Comprehensive design showing framing layout, material selections, door placement, and integration with home architecture. 3D renderings display the complete living space transformation.</p>",2,2,Published
Patio Screen Rooms - Building & Utility Permits,patio-screen-room-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57297d,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 15:29:02 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e57277f_Patio%20Screen%20Rooms%20-%20Building%20%26%20Utility%20Permits.avif,,patio-screen-rooms-enclosures-in-north-south-florida,Building & Utility Permits,"<p>Permit acquisition for room construction, foundation requirements, electrical distribution (if adding climate control), and ARB submissions. Setback and coverage verification.</p>",3,3,Published
Patio Screen Rooms - Construction & Installation,patio-screen-room-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57297e,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 15:29:11 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572780_Patio%20Screen%20Rooms%20-%20Construction%20%26%20Installation.avif,,patio-screen-rooms-enclosures-in-north-south-florida,Construction & Installation,"<p>Full construction including framing installation, screen or glass enclosure, roofing, electrical work, and final inspections. Complete functional testing and operational walkthrough.</p>",4,4,Published
Pole Barn & Steel Buildings - Site Evaluation & Structural Assessment,pole-barn-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57297f,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 15:48:57 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572781_Pole%20Barn%20%26%20Steel%20Buildings%20-%20Site%20Evaluation%20%26%20Structural%20Assessment.avif,,steel-building-pole-barn-construction-in-north-south-florida,Site Evaluation & Structural Assessment,"<p>Comprehensive site survey capturing lot dimensions, soil conditions, setback requirements, and intended use. We assess building size requirements, foundation needs, and local code compliance to determine engineering specifications.</p>",1,1,Published
Pole Barn & Steel Buildings - Custom Design & Structural Engineering,pole-barn-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572980,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 15:49:07 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572782_Pole%20Barn%20%26%20Steel%20Buildings%20-%20Custom%20Design%20%26%20Structural%20Engineering.avif,,steel-building-pole-barn-construction-in-north-south-florida,Custom Design & Structural Engineering,"<p>Detailed design of steel building or pole barn structure with professional engineering for load-bearing capacity, beam sizing, and foundation requirements. 3D renderings and full material specifications provided.</p>",2,2,Published
Pole Barn & Steel Buildings - Building Permits & Code Compliance,pole-barn-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572981,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 15:49:17 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572783_Pole%20Barn%20%26%20Steel%20Buildings%20-%20Building%20Permits%20%26%20Code%20Compliance.avif,,steel-building-pole-barn-construction-in-north-south-florida,Building Permits & Code Compliance,"<p>Permit acquisition for steel structure including wind-load certifications, setback verification, and structural engineering approvals per Florida Building Code. HVHZ compliance for high-wind zones where applicable.</p>",3,3,Published
Pole Barn & Steel Buildings - Construction & Final Inspection,pole-barn-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572982,false,false,Mon May 18 2026 14:11:56 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 15:49:30 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e572784_Pole%20Barn%20%26%20Steel%20Buildings%20-%20Construction%20%26%20Final%20Inspection.avif,,steel-building-pole-barn-construction-in-north-south-florida,Construction & Final Inspection,"<p>Full construction including foundation work, steel framing installation, roofing, and all finishing components. Final inspections confirm structural integrity and code compliance for delivery and handover.</p>",4,4,Published
